"","permno","ticker","cusip","company_name","exchange"
"1",10001,"EGAS","29269V10","ENERGY INC","AMEX"
"2",10001,"EGAS","36720410","GAS NATURAL INC","AMEX"
"3",10029,"AIF","00136610","AIFS INC","AMEX"
"4",10042,"CAU","13886910","CANYON RESOURCES CORP","AMEX"
"5",10042,"CAU","13886930","CANYON RESOURCES CORP","AMEX"
"6",10048,"CTY","15650310","CENTURY COMMS","AMEX"
"7",10051,"HGR","41043F20","HANGER ORTHOPEDIC GROUP INC","AMEX"
"8",10051,"HNGR","41043F20","HANGER ORTHOPEDIC GROUP INC","NYSE"
"9",10057,"AMT","00462610","ACME-CLEVELAND","NYSE"
"10",10064,"TTI","90212810","TYCO TOYS INC","NYSE"
"11",10065,"ADX","00621210","ADAMS EXPRESS CO","NYSE"
"12",10071,"AB","01390210","ALEX BROWN INC","NYSE"
"13",10085,"UCI","90273710","UICI","NYSE"
"14",10092,"KDE","35086510","FOUR KIDS ENTERTAINMENT INCORPOR","NYSE"
"15",10097,"FIX","30303130","FACELIFTERS HOME","AMEX"
"16",10104,"ORCL","68389X10","ORACLE SYSTEMS C","NYSE"
"17",10108,"SDS","86736310","SUNGARD DATA SYS","NYSE"
"18",10116,"HDG","40636910","HALSEY DRUG INC","AMEX"
"19",10119,"TW","90127220","20TH CENTY INDS","NYSE"
"20",10119,"TW","90130N10","21ST CENTURY INSURANCE","NYSE"
"21",10120,"PJC","72408110","PIPER JAFFRAY IN","NYSE"
"22",10123,"AK","00452710","ACKERLEY COMM","AMEX"
"23",10125,"LI","52668F10","LEOS INDS INC","AMEX"
"24",10126,"OV","68241910","1 VALLEY BCP WV","NYSE"
"25",10137,"AYP","01741110","ALLEGHENY POWER SYSTEMS INC","NYSE"
"26",10137,"AYE","01736110","ALLEGHENY ENERGY INC","NYSE"
"27",10145,"ALD","01951210","ALLIED-SIGNAL","NYSE"
"28",10145,"HON","43851610","HONEYWELL INTERNATIONAL","NYSE"
"29",10147,"EMC","26864810","EMC CORP MASS","NYSE"
"30",10158,"AMRC","02361E10","AMERESCO INC","NYSE"
"31",10161,"AMX","02312710","AMAX INC","NYSE"
"32",10180,"AKN","00972810","AKORN INC","AMEX"
"33",10201,"AT","04878Q86","ATLANTIC POWER CORP","NYSE"
"34",10211,"WES","95790710","WESTCORP","AMEX"
"35",10220,"BWC","05615F10","BABCOCK & WILCOX CO","NYSE"
"36",10220,"BWXT","05605H10","BWX TECHNOLOGIES INC","NYSE"
"37",10223,"CIS","13322V10","CAMELOT INFORMATION SYSTEMS INC","NYSE"
"38",10225,"AMB","02470310","AMERN BRANDS","NYSE"
"39",10225,"FO","34963110","FORTUNE BRANDS INC","NYSE"
"40",10225,"BEAM","07373010","BEAM INC","NYSE"
"41",10238,"BVC","07262L10","BAY VIEW CAPITAL","NYSE"
"42",10238,"BVC","07262L30","BAY VIEW CAPITAL CORP","NYSE"
"43",10238,"GLK","39091410","GREAT LAKES BANCORP INC","NYSE"
"44",10241,"AC","02484310","AMERICAN CAN CO","NYSE"
"45",10241,"PA","74158710","PRIMERICA CORPOR","NYSE"
"46",10253,"DMC","25614T10","DOCUMENT SECURITY SYSTEMS INC.","AMEX"
"47",10253,"DSS","25614T10","DOCUMENT SECURITY SYSTEMS INC.","AMEX"
"48",10253,"DSS","25614T20","DOCUMENT SECURITY SYSTEMS INC.","AMEX"
"49",10278,"WTI","96290120","WHEELABRATOR TEC","NYSE"
"50",10278,"WTI","96290130","WHEELABRATOR TECHNOLOGY NEW","NYSE"
"51",10285,"AIM","00142310","AIM TELS INC","AMEX"
"52",10287,"ATI","00207510","ATI MED INC","AMEX"
"53",10302,"CY","23280610","CYPRESS SEMICOND","NYSE"
"54",10308,"TMP","89011010","TOMPKINS COUNTY TRUSTCO INC","AMEX"
"55",10318,"BCP","05766520","BALCHEM CORP/(CLASS B)","AMEX"
"56",10321,"AMO","02762710","AMERICAN MTRS","NYSE"
"57",10343,"INF","45662610","INFINITY BROADCA","NYSE"
"58",10358,"ARI","02922210","AMERN RELIANCE","AMEX"
"59",10358,"ARI","00204W10","ARI HOLDINGS INCORPORATED","AMEX"
"60",10363,"MIT","00753P10","ADVANCED MAGNETI","AMEX"
"61",10363,"AVM","00753P10","ADVANCED MAGNETI","AMEX"
"62",10364,"AR","04341310","ASARCO INCORPORATED","NYSE"
"63",10375,"TCB","87227510","TCF BANKING & SV","NYSE"
"64",10375,"TCF","87227510","TCF BANKING & SV","NYSE"
"65",10388,"TWK","89529010","TRENWICK GROUP I","NYSE"
"66",10388,"TWK","G9032C10","TRENWICK GROUP LIMITED","NYSE"
"67",10401,"T","00195710","A T & T CORPORATION","NYSE"
"68",10401,"T","00195750","A T & T CORPORATION","NYSE"
"69",10404,"TMN","89376730","TRANSMEDIA NETWORK INC","NYSE"
"70",10404,"IRN","45168A10","IDINE REWARDS NETWORK INC","AMEX"
"71",10404,"IRN","76155710","REWARDS NETWORK INC","AMEX"
"72",10415,"NTM","67060L10","NUTMEG INDUS","NYSE"
"73",10426,"BOF","06477210","BANK SAN FRAN","AMEX"
"74",10426,"SFH","79772H10","SAN FRANCISCO COMPANY-A","AMEX"
"75",10434,"LA","50170810","L A GEAR INC","NYSE"
"76",10446,"PKA","73090010","POLK AUDIO","AMEX"
"77",10455,"CME","12589740","CMS ENHANCEMENT","NYSE"
"78",10455,"AQS","03070P10","CMS ENHANCEMENT","NYSE"
"79",10516,"ADM","03948310","ARCH-DAN-M","NYSE"
